"","Laji","min_1pros","max_1pros","KA_kasvusyvyys","Mediaani_kasvusyvyys","Keskihajonta","min_5_pros","max_5_pros","min_syvyys","max_syvyys","havaintojen_lkm","Lajin_90_pros_esiintyvyysrajat","lajihavainto"
"38","Polysiphonia fucoides",0.161,13.5949999999999,5.41723921354451,5.1,2.84998514295494,1.4,10.2,0,20.4,3665,"1.4 - 10.2","Polysiphonia fucoides"
"39","Cordylophora caspia",0,54.5279999999999,16.9670382528745,12.5,12.993752823816,2.5,43.8,0,61.3,3627,"2.5 - 43.8","Cordylophora caspia"
"40","Ceratophyllum demersum",0.1518,6.98200000000002,1.77244643364592,1.4,1.48600345632677,0.31,4.5,0,22.3,3543,"0.31 - 4.5","Ceratophyllum demersum"
"41","Cladophora rupestris",0.427,10,4.18242148760331,4,2.1457370538644,1,8,0,18,3155,"1 - 8","Cladophora rupestris"
"42","Phragmites australis",0,2.43,0.62677557544757,0.5,0.559894611369613,0.05,1.7,0,6.1,3135,"0.05 - 1.7","Phragmites australis"
"43","Hydrobia sp.",0.725,16.3,6.32813723608445,6,3.13256135056925,1.9,11.6,0.03,26.2,3126,"1.9 - 11.6","Hydrobia sp."
"44","Chara Nitella",0.15,5.5,1.81397412634409,1.5,1.24052164563135,0.3,4.1,0,10,2997,"0.3 - 4.1","Chara Nitella"
"45","Aegagropila linnaei",0.2,12.68,3.94809213802917,3.4,2.77012138364362,0.6,9.2,0,25.6,2815,"0.6 - 9.2","Aegagropila linnaei"
"46","Beggiatoa sp.",0.5682,76.6,32.7204048140044,27.05,22.8354123921815,2.1,72.7,0,77.3,2757,"2.1 - 72.7","Beggiatoa sp."
"47","Kiinnittynyt rihmamainen.ruskolevä",0.5,15.097,5.49285133136095,5.1,3.19120082055526,1.203,11,0,31.6,2752,"1.2 - 11","Kiinnittynyt rihmamainen.ruskolevä"
"48","Mysidae",0.3,61,23.573660540135,22,13.2165579074412,3.725,49.075,0,76,2668,"3.73 - 49.08","Mysidae"
"49","Ajelehtiva tunnistamaton.kasviaines",0.2,57,9.94077878787879,5.7,11.2472898295363,0.449,30,0,79,2652,"0.45 - 30","Ajelehtiva tunnistamaton.kasviaines"
"50","Ectocarpus siliculosus",0,12.9,3.34653840216133,2.6,2.87792034724193,0.3,8.9,0,21,2596,"0.3 - 8.9","Ectocarpus siliculosus"
"51","Myriophyllum sp.",0.1,5.7,1.6748755398508,1.5,1.33489165315624,0.25,3.9,0,20.3,2573,"0.25 - 3.9","Myriophyllum sp."
"52","Cordylophora caspia.OLDSCALE",0,56,20.6165020413552,15.8,13.7136683767034,3.35,46.35,0,61.3,2533,"3.35 - 46.35","Cordylophora caspia.OLDSCALE"
"53","Pseudolithoderma",0,13.887,4.3349522673031,3.7,3.18316355542123,0.3,10.8,0,16.7,2515,"0.3 - 10.8","Pseudolithoderma"
"54","Zannichellia palustris",0,5.03800000000001,1.04362209056284,0.6,1.1202608017701,0.1,3.4,0,7.8,2372,"0.1 - 3.4","Zannichellia palustris"
"55","Fontinalis sp.",0.4,8.1,3.64151146983857,3.5,1.85510288595079,0.8,6.93499999999999,0,11.4,2361,"0.8 - 6.93","Fontinalis sp."
"56","Myriophyllum sibiricum",0,4.40700000000002,1.03430470793374,0.7,0.949679468502611,0.15,3,0,9,2318,"0.15 - 3","Myriophyllum sibiricum"
"57","Ceramium sp.",0.78,13,5.17792663915635,4.8,2.80886907277826,1.4,10.3,0.1,16,2260,"1.4 - 10.3","Ceramium sp."
"58","Vaucheria sp.",0.02,6.21399999999999,2.07887654320988,1.9,1.48019763316992,0.2,4.9,0,11.5,2209,"0.2 - 4.9","Vaucheria sp."
"59","Cerastoderma glaucum",0,17.2699999999999,5.77283858998145,5,4.2061064307325,0,14,0,25.9,2159,"0 - 14","Cerastoderma glaucum"
"60","Mytilus trossulus.edulis.kuorimurska",1,33,11.8276313035205,9.6,7.79011436670782,2.4,27,0.1,45.7,2102,"2.4 - 27","Mytilus trossulus.edulis.kuorimurska"
"61","Zannichellia sp.",0.05,6.94100000000001,1.68057233009709,1.2,1.47185217358776,0.2,4.4,0,13.6,2100,"0.2 - 4.4","Zannichellia sp."
"62","Kiinnittynyt tunnistamaton.rihmalevä...5.cm...477",0.2,12.316,3.4853376498801,2.6,2.98486867754919,0.5,9.7,0,18.6,2086,"0.5 - 9.7","Kiinnittynyt tunnistamaton.rihmalevä...5.cm...477"
"63","Ajelehtiva makrofyytti",0.1,54.1,8.00054536340852,4.7,10.6620357056468,0.35,32.13,0,77.3,2029,"0.35 - 32.13","Ajelehtiva makrofyytti"
"64","Callitriche hermaphroditica",0,4.2,1.01085845213849,0.65,0.950243204156274,0.1,3,0,7.7,1974,"0.1 - 3","Callitriche hermaphroditica"
"65","Cladophora sp.",0.15,8.7,3.10478679147166,3,2.07337976518252,0.4,6.8,0.02,14.2,1936,"0.4 - 6.8","Cladophora sp."
"66","Tolypella nidifica",0,6.33399999999999,2.21971558650241,2,1.55736717015189,0.2374,5.02099999999999,0,7.5,1921,"0.24 - 5.02","Tolypella nidifica"
"67","Kiinnittynyt rihmamainen.viherlevä",0.2,12,3.36614421997755,3,2.3260909709005,0.5,7.19499999999998,0,19.8,1798,"0.5 - 7.19","Kiinnittynyt rihmamainen.viherlevä"
"68","Pomatochistus sp.",0.307,32,13.2978011661808,13.5,7.62106930333618,1.3,25.16,0,57,1740,"1.3 - 25.16","Pomatochistus sp."
"69","Balanus improvisus",0.2,15.5,4.80702576112412,4.2,3.35314476033366,0.5,11.265,0.05,21.5,1708,"0.5 - 11.26","Balanus improvisus"
"70","Chara tomentosa",0.1,2.92447000000001,0.851345605700713,0.7,0.568112108923141,0.3,1.9,0,4.1,1695,"0.3 - 1.9","Chara tomentosa"
"71","Fontinalis antipyretica",0.2,7.7,2.35639756097561,2,1.74532213746013,0.35,5.7,0,9.6,1677,"0.35 - 5.7","Fontinalis antipyretica"
"72","Coccotylus truncatus..Phyllophora.pseudoceranoides",1.614,18.286,9.4115476477684,9.1,3.57339013191165,4,15.7,0.4,27.3,1659,"4 - 15.7","Coccotylus truncatus..Phyllophora.pseudoceranoides"
"73","Chara sp.",0.05,4.5,1.03723346560847,0.7,0.968229253782374,0.2,3,0,9.8,1566,"0.2 - 3","Chara sp."
"74","Zoarces viviparus",3.049,59.8,30.558085057469,30.05,13.6261319419903,7,53.5,0,75,1469,"7 - 53.5","Zoarces viviparus"
"75","Rivularia sp.",0,6,0.853398262128892,0.52,1.68699575675261,0.1,2.1,0,50,1383,"0.1 - 2.1","Rivularia sp."
"76","Pylaiella littoralis",0.2,9,2.54730320699708,2,2.08081000013194,0.3,6.7,0.1,14,1372,"0.3 - 6.7","Pylaiella littoralis"
"77","Polysiphonia sp.",0.608,13,5.62225830258303,5,2.83941485660566,1.7,11.1,0.07,16.1,1357,"1.7 - 11.1","Polysiphonia sp."
"78","Mytilus trossulus",0.4,16.2,5.51018450184502,4.8,3.67009547264667,1,13,0.1,21.5,1355,"1 - 13","Mytilus trossulus"
"79","Potamogeton pusillus",0.0299,3.76700000000001,0.791324587706147,0.6,0.755964399216897,0.12,2.3,0,5.8,1342,"0.12 - 2.3","Potamogeton pusillus"
"80","Eleocharis acicularis",0,1.40588,0.38815337889142,0.32,0.33829208640989,0.02,0.95,0,5,1317,"0.02 - 0.95","Eleocharis acicularis"
"81","Polysiphonia fibrillosa",0.3872,12,4.36031050583658,4.3,2.45361838484169,1,8.4,0.05,20.4,1295,"1 - 8.4","Polysiphonia fibrillosa"
"82","Dictyosiphon foeniculaceus",0.1,7.60000000000005,1.79700237906423,1.2,1.70435966074328,0.3,5.3,0,12.2,1265,"0.3 - 5.3","Dictyosiphon foeniculaceus"
"83","Dreissena polymorpha",1.147,13.8,6.79594076655052,6.7,3.06211693815853,1.8,12,0,18,1152,"1.8 - 12","Dreissena polymorpha"
"84","Elachista fucicola",0.461,6.93399999999999,2.68461264470169,2.5,1.52520484773046,0.8,5.8,0,8.3,1125,"0.8 - 5.8","Elachista fucicola"
"85","Stuckenia filiformis",0,4.44400000000001,0.780465500485909,0.48,1.0340949547846,0.1,2.7,0,11,1051,"0.1 - 2.7","Stuckenia filiformis"
"86","Perca fluviatilis",0,22,10.2970694864048,11,5.75503013099626,0.55,19,0,27,1032,"0.55 - 19","Perca fluviatilis"
"87","Makrofyytti",0.00112,10.794,2.55234760956175,2.2,2.20037160182681,0.2,5.9,0,21,1008,"0.2 - 5.9","Makrofyytti"
"88","Pot pect.Pot.fili.Ruppia.sp..Zannichellia.sp.",0.2,5.8168,2.16597244897959,2,1.44350896535151,0.498,4.5,0.15,13.1,981,"0.5 - 4.5","Pot pect.Pot.fili.Ruppia.sp..Zannichellia.sp."
"89","Gasterosteus aculeatus",0.18,11.674,3.21817842323651,2.5,2.55198823987092,0.4,7.8,0,18.4,971,"0.4 - 7.8","Gasterosteus aculeatus"
"90","Chara globularis",0.1,4.79200000000001,1.4463277486911,1.1,1.15622783549028,0.3,3.5,0,12.1,962,"0.3 - 3.5","Chara globularis"
"91","Zostera marina",0.6,6.5613,3.13920137299771,3,1.27917211403224,1.21195,5.5,0,8.45,932,"1.21 - 5.5","Zostera marina"
"92","Theodoxus fluviatilis",0.1045,9.33,3.45675164835165,3,2.50694544914888,0.4,7.755,0,12.3,911,"0.4 - 7.75","Theodoxus fluviatilis"
"93","Sparganium sp.",0.01,2.3,0.66926872246696,0.5,0.502257165876646,0.1,1.7,0,3.8,910,"0.1 - 1.7","Sparganium sp."
"94","Ruppia sp.",0,6,1.71351927437642,1.35,1.36613466004992,0.237,4.357,0,7.6,897,"0.24 - 4.36","Ruppia sp."
"95","Lemna trisulca",0,2.7,0.739790671217292,0.6,0.577439724081261,0.1009,1.80999999999999,0,4.1,889,"0.1 - 1.81","Lemna trisulca"
"96","Cerastoderma glaucum.OLDSCALE",0,19,7.00655367231638,7,5.14509171594622,0,15,0,25.9,887,"0 - 15","Cerastoderma glaucum.OLDSCALE"
"97","Dictyosiphon foeniculaceus...Stictyosiphon.tortilis",0,8,2.53855384615385,2.2,1.86213926714329,0.2,6,0,10.24,859,"0.2 - 6","Dictyosiphon foeniculaceus...Stictyosiphon.tortilis"
"98","Lymnea sp.",0.01,11.107,2.75642548076923,1.2,3.06538179933065,0.1,8.43499999999998,0,24.3,836,"0.1 - 8.43","Lymnea sp."
"99","Cerastoderma/Macoma baltica/Mya arenaria",0.2,12.364,4.06440781440781,3.3,2.99221279212998,0.4,9.8,0.1,21.5,819,"0.4 - 9.8","Cerastoderma/Macoma baltica/Mya arenaria"
"100","Nuphar lutea",0.1,2.2,0.815076827757125,0.7,0.528889535245459,0.3,1.8,0,6.3,807,"0.3 - 1.8","Nuphar lutea"
"101","Anodonta anatina",0.1452,6.848,1.91502445302445,1.6,1.35239108815798,0.5,4.73199999999999,0,8.9,779,"0.5 - 4.73","Anodonta anatina"
"102","Eleocharis sp.",0,1.27478999999999,0.249643410852713,0.2,0.345546161204477,0,0.7,0,5,774,"0 - 0.7","Eleocharis sp."
"103","Rhodomela confervoides",0,16.3,8.67597402597403,8.75,3.00377428801111,4,13.6,0,20.4,770,"4 - 13.6","Rhodomela confervoides"
"104","Stictyosiphon tortilis",0.19,10,3.34802124833997,3.1,2.3534173182876,0.4,7.74,0,12,757,"0.4 - 7.74","Stictyosiphon tortilis"
"105","Kiinnittynyt tunnistamaton rihmalevä < 5 cm",0.05,8.12399999999998,1.33362416107383,0.7,1.59790555740419,0.2,4.9,0,10.8,745,"0.2 - 4.9","Kiinnittynyt tunnistamaton rihmalevä < 5 cm"
"106","Pilayella littoralis / Ectocarpus siliculosus",0.1085,11.2,2.59105849582173,2.05,2.31540803298155,0.2,6.83,0,14.3,718,"0.2 - 6.83","Pilayella littoralis / Ectocarpus siliculosus"
"107","Schoenoplectus tabernaemontani",0,1.3,0.335600282485876,0.289,0.276656420377823,0.000350000000000001,0.8,0,2,711,"0 - 0.8","Schoenoplectus tabernaemontani"
"108","Cladophora fracta",0.0484,7.03999999999996,1.59752367288379,0.89,1.70890213877592,0.15,5.1,0,10.4,702,"0.15 - 5.1","Cladophora fracta"
"109","Putkilokasvit",0,5.5,1.72141260744986,1.48,1.48874601752286,0.1,4.4,0,14.75,699,"0.1 - 4.4","Putkilokasvit"
"110","Subularia aquatica",0,1.514,0.425624454148472,0.4,0.330210859193641,0,1.1,0,2.1,689,"0 - 1.1","Subularia aquatica"
"111","Sphacelaria sp.",0.6,17.321,8.12882352941176,7.95,3.82089154036277,2.895,14.9,0.2,23.1,681,"2.9 - 14.9","Sphacelaria sp."
"112","Siphon holes",15.05,55.3,38.0648286140089,38.5,9.00037229373357,21.6,55.1,0,58.2,671,"21.6 - 55.1","Siphon holes"
"113","Mytilus trossulus.x.edulis..kuorimurska.OLDSCALE",0.541,32,10.1788161993769,8.1,7.57835120727238,1.5,27,0.1,35,642,"1.5 - 27","Mytilus trossulus.x.edulis..kuorimurska.OLDSCALE"
"114","Laomedea loveni",0,48.9,11.7907800312012,10.4,8.40845863271626,1.35,27.9,0,49.9,641,"1.35 - 27.9","Laomedea loveni"
"115","Ranunculus peltatus.ssp..baudotii",0,3.685,1.21753833865815,1,0.8526961396229,0.15,3,0,5.23,641,"0.15 - 3","Ranunculus peltatus.ssp..baudotii"
"116","Sinilevämatto",0.1,8.774,2.63474162679426,2.3,2.10747021480722,0.222,6.1,0,17,627,"0.22 - 6.1","Sinilevämatto"
"117","Spirogyra",0.06904,6.09599999999998,1.71197777777778,1,1.64887268604319,0.2,5.3,0,11,586,"0.2 - 5.3","Spirogyra"
"118","Nitella sp.",0.0468,5.5,1.69808376068376,1.5,1.21027717651765,0.284,4.2,0,6.3,585,"0.28 - 4.2","Nitella sp."
"119","Fissidens fontanus",0.2365,6.3,2.85987108013937,2.9,1.29608766674757,0.5,5,0.05,7.4,574,"0.5 - 5","Fissidens fontanus"
"120","Potamogeton gramineus",0.08336,3,0.791846994535519,0.6,0.630386935322616,0.2,2.2,0.05,4.3,549,"0.2 - 2.2","Potamogeton gramineus"
"121","Elatine hydropiper",0,2.41800000000001,0.522946494464945,0.4,0.445625032914402,0.05,1.4,0,3.8,543,"0.05 - 1.4","Elatine hydropiper"
"122","Zannichellia major",0,5.264,1.58972067039106,1.3,1.25560122521236,0.208,4.102,0,6.11,542,"0.21 - 4.1","Zannichellia major"
"123","Ranunculus circinatus",0.2098,3.186,1.17001941747573,1,0.719256939048425,0.4,2.5,0.05,4.5,530,"0.4 - 2.5","Ranunculus circinatus"
"124","Rihmamaiset levät",0.1,7.485,1.74686046511628,0.8,1.84842074495909,0.2,5.7,0.01,8.5,516,"0.2 - 5.7","Rihmamaiset levät"
"125","Sagittaria natans x sagittifolia",0,1.0935,0.468249027237354,0.45,0.260347736138616,0.05,0.9,0,1.5,514,"0.05 - 0.9","Sagittaria natans x sagittifolia"
"126","Nymphaea alba",0,2.4,0.761375,0.6,0.52099142909641,0.1,1.9,0,3,497,"0.1 - 1.9","Nymphaea alba"
"127","Alisma wahlenbergii",0,1.1,0.407166666666667,0.355,0.272620189221798,0.05,0.9,0,2.4,480,"0.05 - 0.9","Alisma wahlenbergii"
"128","Potamogeton sp..Stuckenia.sp.",0,10.9,1.65600649350649,0.8,1.9947568817556,0.1405,4.7,0,12,480,"0.14 - 4.7","Potamogeton sp..Stuckenia.sp."
"129","Dreissena polymorpha.OLDSCALE",0.936,12.288,5.7044776119403,5.5,2.79561645458439,1.5,10,0,18,473,"1.5 - 10","Dreissena polymorpha.OLDSCALE"
"130","muut selkärangattomat",0,19.72,4.51088079470199,3.6,4.13257309160287,0.3,10.8,0,31.5,454,"0.3 - 10.8","muut selkärangattomat"
"131","Monostroma sp.",0.8,12,3.7818407960199,3.7,2.16132258264742,1.3,6.995,0.5,17,427,"1.3 - 6.99","Monostroma sp."
"132","Copepoda",0,47.7,39.7944174757282,40.2,6.57544965022638,33.545,46.845,0,47.9,412,"33.55 - 46.84","Copepoda"
"133","Anodonta anatina.OLDSCALE",0.1453,7.18199999999999,2.24021951219512,1.9,1.48392666193604,0.6,5.30999999999999,0,8.9,411,"0.6 - 5.31","Anodonta anatina.OLDSCALE"
"134","Potamogeton filiformis",0,1.59399999999999,0.47009900990099,0.4,0.331431948633048,0.05,1.2,0,2,404,"0.05 - 1.2","Potamogeton filiformis"
"135","Callitriche palustris",0,1.1,0.364401515151515,0.3,0.296645153741309,0.0175,0.8625,0,2.9,397,"0.02 - 0.86","Callitriche palustris"
"136","Alisma plantago-aquatica",0,1.13992,0.315091603053435,0.3,0.256884377540187,0.01,0.8,0,1.6,394,"0.01 - 0.8","Alisma plantago-aquatica"
"137","Ruppia maritima",0.0577,4.223,0.989291005291005,0.54,1.02494909492461,0.15,3.215,0,7.5,382,"0.15 - 3.21","Ruppia maritima"
"138","Ranunculus sp.",0,3.547,1.07207062146893,1,0.759520631648232,0.2,2.6415,0,4.5,379,"0.2 - 2.64","Ranunculus sp."
"139","Platyhypnidium riparioides",0.4,6.5,3.02155026455026,2.9,1.30484378115648,1,5.415,0.3,7.4,378,"1 - 5.41","Platyhypnidium riparioides"
"140","Isoëtes echinospora",0,1.1,0.501698113207547,0.5,0.273574092877465,0.1,0.9,0,2.4,371,"0.1 - 0.9","Isoëtes echinospora"
"141","Zannichellia palustris.var..repens",0.0105,4.6,1.19637797619048,0.8,1.14668170315451,0.1075,3.7,0,5.6,361,"0.11 - 3.7","Zannichellia palustris.var..repens"
"142","Biofilmi",0.0344,12.664,3.81838681948424,2.7,3.31752866438576,0.238,10,0,14.3,350,"0.24 - 10","Biofilmi"
"143","Callitriche sp.",0,3.9,0.930292753623188,0.55,0.964266776858537,0.05,3.1,0,5.3,348,"0.05 - 3.1","Callitriche sp."
"144","Elatine sp.",0,2.1472,0.501144927536232,0.4,0.434272235220936,0.05,1.2,0,4.2,345,"0.05 - 1.2","Elatine sp."
"145","Ranunculus peltatus",0.15,2.19800000000001,0.687820895522388,0.6,0.408516042582295,0.235,1.5,0.1,3.2,335,"0.23 - 1.5","Ranunculus peltatus"
"146","Triglopsis quadricornis",7,74.977,25.417921686747,20.35,16.0755961362508,8,61.045,3.8,79,335,"8 - 61.05","Triglopsis quadricornis"
"147","Potamogeton berchtoldii",0.0221,3.458,0.660403726708075,0.5,0.652171779244847,0.1,2.1,0,5,329,"0.1 - 2.1","Potamogeton berchtoldii"
"148","Chara baltica",0,4.3,1.20496507936508,1,0.817489696103421,0.19,2.7,0,4.5,322,"0.19 - 2.7","Chara baltica"
"149","Potamogeton natans",0.1,1.5,0.57134076433121,0.5,0.310436395600052,0.2,1.2,0,2.2,316,"0.2 - 1.2","Potamogeton natans"
"150","Bryophyta sp.",0.05011,5.55599999999999,1.5055641025641,1,1.32181659165974,0.2,3.845,0.037,5.9,314,"0.2 - 3.84","Bryophyta sp."
"151","Chorda ..Halosiphon",0.3,8,2.19616129032258,1.85,1.69630717505812,0.5,5.4,0.2,10.6,310,"0.5 - 5.4","Chorda ..Halosiphon"
"152","Chara canescens",0.1,2,0.678137457044674,0.6,0.415410883018323,0.2,1.5,0.01,2.6,308,"0.2 - 1.5","Chara canescens"
"153","Rhodochorton purpureum",1,10,4.78381639344262,4.2,2.31087945616265,2,9.2,0.064,11.1,305,"2 - 9.2","Rhodochorton purpureum"
"154","Zannichellia palustris.var..pedicellata",0,4.948,1.16320740740741,0.7,1.12218805185974,0.109,3.2775,0,5.8,291,"0.11 - 3.28","Zannichellia palustris.var..pedicellata"
"155","Limosella aquatica",0,0.9,0.231828070175439,0.2,0.215241598414814,0,0.65,0,1.2,286,"0 - 0.65","Limosella aquatica"
"156","Phyllophora pseudoceranoides",1.225,18.94,9.52685314685315,9.5,3.77493718680502,3.9,15.65,0.24,24.2,286,"3.9 - 15.65","Phyllophora pseudoceranoides"
"157","Poaceae spp.",0,0.8696,0.166353790613718,0.1,0.220579846272486,0,0.6,0,1.759,277,"0 - 0.6","Poaceae spp."
"158","Nerophis ophidion",0.1959,10.9020000000001,4.16281923076923,4,2.58377768275726,0.5,8.4,0,12.3,273,"0.5 - 8.4","Nerophis ophidion"
"159","Sagittaria sagittifolia.x.natans",0.041,1.9,0.534188191881919,0.429,0.383538705382806,0.14,1.1,0,3.5,271,"0.14 - 1.1","Sagittaria sagittifolia.x.natans"
"160","Myriophyllum verticillatum",0,2.5,0.698295454545454,0.55,0.505451208111665,0.1,1.6425,0,3,265,"0.1 - 1.64","Myriophyllum verticillatum"
"161","Schoenoplectus sp.",0,2.03599999999997,0.435478764478764,0.4,0.46073993670615,0.039,1,0,4.4,262,"0.04 - 1","Schoenoplectus sp."
"162","Ranunculus confervoides",0,10.61,0.799664092664093,0.45,1.5797200318338,0.1,1.522,0,11.9,259,"0.1 - 1.52","Ranunculus confervoides"
"163","Mya arenaria",0,19,7.04245348837209,6.99,4.47248430513691,0,14.245,0,19.9,258,"0 - 14.24","Mya arenaria"
"164","Elodea canadensis",0,3.764,0.745420233463035,0.6,0.656929697457428,0.14,1.9,0,5.3,257,"0.14 - 1.9","Elodea canadensis"
